% Citation Request
% Murat KOKLU and ILKER ALI OZKAN
% KOKLU, M. and OZKAN, I.A., (2020), "Multiclass Classification of Dry Beans Using Computer Vision and Machine Learning Techniques." Computers and Electronics in Agriculture, 174, 105507. DOI: https://doi.org/10.1016/j.compag.2020.105507
% Citation Request
Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
32713,660,215.4,193.5,1.113,0.4396,33020,204.1,0.7995,0.9907,0.9436,0.9474,0.006585,0.003273,0.8976,0.9993,SEKER
32729,656.7,214.3,194.8,1.1,0.4165,33066,204.1,0.7692,0.9898,0.9538,0.9527,0.006547,0.003327,0.9077,0.9984,SEKER
32774,660.6,222.9,187.5,1.189,0.5407,33120,204.3,0.7902,0.9896,0.9437,0.9166,0.0068,0.002961,0.8401,0.9987,SEKER
32775,649.8,220,189.8,1.159,0.5058,33062,204.3,0.7726,0.9913,0.9754,0.9284,0.006713,0.003077,0.862,0.9992,SEKER
32795,651,225.2,185.6,1.213,0.5664,33091,204.3,0.776,0.9911,0.9723,0.9073,0.006867,0.002871,0.8233,0.999,SEKER
32796,654.8,223.1,187.4,1.191,0.5427,33111,204.3,0.8008,0.9905,0.9611,0.9158,0.006804,0.002952,0.8386,0.9985,SEKER
32799,653.7,219.9,190.1,1.157,0.5026,33087,204.4,0.7462,0.9913,0.9644,0.9293,0.006705,0.003084,0.8636,0.9989,SEKER
32829,658.1,221.6,189,1.172,0.5221,33154,204.4,0.7898,0.9902,0.9525,0.9226,0.00675,0.003017,0.8512,0.998,SEKER
32836,669.2,218.4,191.8,1.139,0.4787,33225,204.5,0.8029,0.9883,0.9214,0.9362,0.006651,0.003152,0.8765,0.9983,SEKER
32849,664.1,230.7,181.7,1.269,0.616,33245,204.5,0.7466,0.9881,0.936,0.8864,0.007024,0.002675,0.7857,0.9974,SEKER
32870,655.5,220.4,190,1.16,0.5064,33198,204.6,0.7812,0.9901,0.9613,0.9284,0.006704,0.003072,0.8619,0.9995,SEKER
32885,659.7,227.1,184.6,1.23,0.5825,33225,204.6,0.7857,0.9898,0.9495,0.9012,0.006905,0.002809,0.8121,0.9991,SEKER
32920,671.6,219.1,191.5,1.144,0.4861,33376,204.7,0.778,0.9863,0.9171,0.9345,0.006655,0.00313,0.8732,0.9992,SEKER
32925,656.6,225.1,186.5,1.207,0.5604,33252,204.7,0.7687,0.9902,0.9596,0.9095,0.006838,0.002886,0.8271,0.9987,SEKER
32934,668.2,221.4,189.6,1.168,0.5164,33401,204.8,0.7767,0.986,0.9269,0.9249,0.006723,0.003034,0.8554,0.9989,SEKER
32947,668.2,209.7,200.2,1.047,0.2967,33336,204.8,0.7653,0.9883,0.9272,0.9767,0.006365,0.003573,0.954,0.999,SEKER
32951,688.3,226.6,185.5,1.222,0.5744,33524,204.8,0.7708,0.9829,0.8741,0.9037,0.006878,0.00283,0.8167,0.9978,SEKER
32988,676.8,224.8,187.2,1.201,0.5535,33461,204.9,0.7667,0.9859,0.905,0.9119,0.006813,0.002906,0.8315,0.9984,SEKER
33006,669.8,223.5,188.2,1.187,0.5392,33458,205,0.757,0.9865,0.9246,0.9171,0.006772,0.002955,0.8411,0.9987,SEKER
33010,665.9,225,186.9,1.204,0.5567,33374,205,0.7916,0.9891,0.9356,0.9113,0.006815,0.002899,0.8304,0.9996,SEKER
33013,652.7,223.8,188,1.19,0.5422,33289,205,0.7898,0.9917,0.9738,0.9162,0.006779,0.002946,0.8394,0.999,SEKER
33019,655.7,224.5,187.5,1.197,0.5497,33340,205,0.7643,0.9904,0.9651,0.9135,0.006798,0.00292,0.8345,0.999,SEKER
33051,663.1,219,192.5,1.138,0.4767,33423,205.1,0.7779,0.9889,0.9447,0.9369,0.006625,0.003149,0.8778,0.9986,SEKER
33058,655.5,224.4,187.9,1.195,0.5471,33320,205.2,0.7993,0.9921,0.9668,0.9141,0.006789,0.002924,0.8355,0.9982,SEKER
33062,668,222,189.8,1.17,0.5191,33439,205.2,0.7787,0.9887,0.9312,0.924,0.006716,0.00302,0.8538,0.999,SEKER
33078,659.5,235.6,178.9,1.316,0.6504,33333,205.2,0.7877,0.9923,0.9558,0.8712,0.007121,0.002531,0.759,0.9992,SEKER
33078,652.2,221.4,190.4,1.163,0.5106,33327,205.2,0.7724,0.9925,0.9772,0.927,0.006693,0.003048,0.8593,0.9994,SEKER
33089,663.9,217.3,194.2,1.119,0.4489,33466,205.3,0.7744,0.9887,0.9433,0.9444,0.006568,0.003223,0.8919,0.9982,SEKER
33090,653.8,228.4,184.7,1.237,0.5884,33352,205.3,0.7694,0.9921,0.9728,0.8987,0.006903,0.002777,0.8076,0.9988,SEKER
33143,648.4,222.5,189.7,1.173,0.5225,33377,205.4,0.77,0.993,0.9907,0.9231,0.006714,0.003008,0.8522,0.9995,SEKER
33159,653.8,222.4,190,1.171,0.5202,33415,205.5,0.7881,0.9923,0.9748,0.9237,0.006708,0.003013,0.8532,0.999,SEKER
33168,680.6,234.3,180.6,1.298,0.6372,33542,205.5,0.7612,0.9888,0.8997,0.877,0.007065,0.002578,0.7692,0.998,SEKER
33171,654.3,222.3,190.4,1.168,0.5161,33429,205.5,0.7902,0.9923,0.9736,0.9247,0.0067,0.003021,0.855,0.9983,SEKER
33194,664.7,232.3,182.1,1.276,0.621,33520,205.6,0.7737,0.9903,0.9442,0.885,0.006999,0.002648,0.7831,0.9991,SEKER
33236,660.8,210.9,200.9,1.049,0.3033,33611,205.7,0.7683,0.9888,0.9565,0.9756,0.006344,0.003545,0.9518,0.9988,SEKER
33248,660.1,231,183.4,1.259,0.6077,33511,205.7,0.7877,0.9922,0.959,0.8908,0.006947,0.002698,0.7935,0.9992,SEKER
33251,659,217.5,195,1.115,0.4427,33565,205.8,0.7579,0.9906,0.9623,0.9462,0.00654,0.003234,0.8953,0.9985,SEKER
33276,704.5,234.8,180.7,1.299,0.6385,33857,205.8,0.7597,0.9828,0.8425,0.8767,0.007056,0.002571,0.7686,0.9986,SEKER
33316,670.6,229.2,185.3,1.237,0.5888,33699,206,0.7826,0.9886,0.931,0.8985,0.00688,0.002766,0.8074,0.9988,SEKER
33319,668.6,225,188.8,1.192,0.5438,33732,206,0.796,0.9878,0.9366,0.9153,0.006753,0.002924,0.8379,0.9984,SEKER
33325,674.4,223.8,189.7,1.18,0.5305,33701,206,0.799,0.9888,0.9207,0.9203,0.006716,0.002972,0.847,0.9991,SEKER
33330,653.8,224.4,189.4,1.184,0.5358,33580,206,0.7902,0.9926,0.9799,0.9182,0.006731,0.002951,0.8431,0.9985,SEKER
33333,679.3,220.5,192.7,1.144,0.4862,33834,206,0.7722,0.9852,0.9078,0.9342,0.006616,0.003108,0.8727,0.9986,SEKER
33338,659.1,232.3,182.9,1.27,0.6163,33639,206,0.7767,0.9911,0.9644,0.887,0.006967,0.002661,0.7868,0.9991,SEKER
33344,661.5,225.3,188.7,1.194,0.5467,33692,206,0.7634,0.9897,0.9575,0.9145,0.006757,0.002915,0.8362,0.9987,SEKER
33382,659.4,222.9,190.9,1.167,0.5159,33730,206.2,0.7817,0.9897,0.9647,0.925,0.006676,0.003015,0.8557,0.9989,SEKER
33399,664.7,221.6,192.1,1.153,0.4983,33752,206.2,0.7615,0.9895,0.9499,0.9307,0.006634,0.003071,0.8663,0.9992,SEKER
33421,654.8,219.5,194,1.132,0.4679,33691,206.3,0.7634,0.992,0.9795,0.9396,0.006569,0.003158,0.8828,0.999,SEKER
33423,659,224.2,190,1.18,0.5308,33707,206.3,0.773,0.9916,0.967,0.9202,0.006707,0.002967,0.8469,0.9992,SEKER
33427,665.6,228.2,186.6,1.223,0.5756,33789,206.3,0.7545,0.9893,0.9481,0.9039,0.006828,0.002812,0.8171,0.9993,SEKER
33429,658.6,229.4,185.7,1.236,0.5874,33713,206.3,0.7917,0.9916,0.9685,0.8992,0.006864,0.002767,0.8085,0.999,SEKER
33431,666.8,219.9,193.7,1.135,0.4736,33788,206.3,0.7887,0.9894,0.9447,0.9382,0.006578,0.003144,0.8802,0.9994,SEKER
33433,657.3,225,189.6,1.187,0.5387,33708,206.3,0.7768,0.9918,0.9723,0.917,0.00673,0.002935,0.8408,0.998,SEKER
33446,656.1,224.2,190.3,1.179,0.5292,33713,206.4,0.7678,0.9921,0.9764,0.9203,0.006704,0.002966,0.8469,0.9982,SEKER
33447,664.4,226.1,188.7,1.198,0.5507,33791,206.4,0.7702,0.9898,0.9521,0.9126,0.006761,0.002893,0.8329,0.9979,SEKER
33459,655.4,219.1,194.5,1.126,0.4602,33765,206.4,0.7863,0.9909,0.9788,0.9419,0.006549,0.00318,0.8872,0.9993,SEKER
33468,660,224.5,190,1.182,0.5327,33748,206.4,0.7923,0.9917,0.9655,0.9197,0.006707,0.002959,0.8458,0.9994,SEKER
33498,657.5,227.9,187.3,1.217,0.5698,33745,206.5,0.7815,0.9927,0.9737,0.906,0.006805,0.002829,0.8209,0.9989,SEKER
33534,657.1,218.8,195.2,1.121,0.4522,33793,206.6,0.7835,0.9923,0.9761,0.9442,0.006526,0.003199,0.8915,0.9995,SEKER
33538,658.3,227.5,187.9,1.211,0.5636,33800,206.6,0.7605,0.9922,0.9726,0.9083,0.006784,0.002848,0.8249,0.9986,SEKER
33539,662.4,223.7,191.2,1.17,0.519,33915,206.6,0.7643,0.9889,0.9605,0.9238,0.006669,0.002997,0.8535,0.9985,SEKER
33547,653.5,213.8,199.9,1.069,0.3538,33832,206.7,0.7836,0.9916,0.9871,0.9669,0.006372,0.003435,0.9348,0.9995,SEKER
33560,669.3,227.9,187.9,1.213,0.5664,33897,206.7,0.7399,0.9901,0.9415,0.9069,0.006792,0.002834,0.8224,0.9979,SEKER
33576,666.3,224.6,190.5,1.179,0.5299,33927,206.8,0.7618,0.9897,0.9503,0.9206,0.006689,0.002964,0.8475,0.9994,SEKER
33583,657.8,221.7,193,1.149,0.4926,33868,206.8,0.7753,0.9916,0.9754,0.9327,0.006602,0.003081,0.8699,0.9995,SEKER
33584,658.8,223.7,191.4,1.169,0.5182,33884,206.8,0.7481,0.9911,0.9722,0.9242,0.006662,0.002999,0.8542,0.9988,SEKER
33607,690.2,214.8,199.5,1.076,0.37,34162,206.9,0.7708,0.9838,0.8866,0.9632,0.00639,0.003393,0.9277,0.9986,SEKER
33620,670.2,222.8,192.2,1.159,0.5054,34012,206.9,0.7832,0.9885,0.9405,0.9287,0.006626,0.003041,0.8625,0.9996,SEKER
33623,659.4,217.4,197.1,1.103,0.4218,33918,206.9,0.7932,0.9913,0.9717,0.9519,0.006465,0.003274,0.906,0.9993,SEKER
33631,669.1,224.9,190.8,1.179,0.5297,34009,206.9,0.7629,0.9889,0.9441,0.9201,0.006687,0.002957,0.8467,0.9982,SEKER
33639,663,224.7,190.9,1.177,0.5276,33919,207,0.7863,0.9917,0.9616,0.9212,0.006679,0.002967,0.8486,0.9989,SEKER
33717,664.4,231.6,185.7,1.248,0.598,33985,207.2,0.7662,0.9921,0.9599,0.8945,0.00687,0.002713,0.8002,0.9983,SEKER
33731,671.7,231.2,186.1,1.242,0.5931,34073,207.2,0.8032,0.99,0.9395,0.8965,0.006853,0.00273,0.8037,0.9982,SEKER
33736,655.7,221.4,194.1,1.14,0.4807,33988,207.3,0.7869,0.9926,0.9859,0.9361,0.006562,0.003109,0.8764,0.9994,SEKER
33794,665.8,219,196.6,1.114,0.4408,34127,207.4,0.7777,0.9902,0.9579,0.9472,0.00648,0.003217,0.8971,0.9995,SEKER
33809,669.3,230.2,187.2,1.23,0.5824,34143,207.5,0.7841,0.9902,0.9483,0.9011,0.00681,0.00277,0.812,0.9989,SEKER
33824,656.3,220.8,195.3,1.13,0.4663,34079,207.5,0.7884,0.9925,0.9867,0.9401,0.006527,0.003144,0.8837,0.999,SEKER
33838,661,223,193.5,1.152,0.497,34146,207.6,0.7821,0.991,0.9731,0.9309,0.006589,0.003052,0.8666,0.9987,SEKER
33845,670.9,226.4,190.5,1.188,0.5401,34159,207.6,0.7639,0.9908,0.9448,0.917,0.006689,0.002917,0.8409,0.9991,SEKER
33849,669.6,221.6,194.7,1.138,0.4779,34239,207.6,0.7863,0.9886,0.9488,0.9368,0.006547,0.00311,0.8776,0.999,SEKER
33858,664.5,234.3,184.1,1.273,0.6185,34142,207.6,0.7813,0.9917,0.9637,0.886,0.006921,0.002631,0.785,0.9991,SEKER
33860,683.3,225.5,191.5,1.178,0.5281,34319,207.6,0.7752,0.9866,0.9113,0.9206,0.006661,0.002952,0.8476,0.9981,SEKER
33864,662.9,221.2,195.1,1.134,0.4717,34167,207.6,0.7716,0.9911,0.9684,0.9387,0.006532,0.003128,0.8811,0.9992,SEKER
33866,668.4,230.9,186.9,1.236,0.5876,34171,207.7,0.7999,0.9911,0.9525,0.8992,0.006819,0.00275,0.8086,0.9992,SEKER
33876,667,228.1,189.2,1.206,0.5591,34211,207.7,0.7883,0.9902,0.957,0.9103,0.006735,0.002853,0.8286,0.9994,SEKER
33930,666.2,224.2,192.9,1.162,0.5096,34251,207.8,0.7627,0.9906,0.9607,0.9273,0.006606,0.003013,0.8598,0.9993,SEKER
33946,667.3,231.5,187,1.238,0.5895,34246,207.9,0.7912,0.9912,0.9579,0.8979,0.006821,0.002735,0.8062,0.9981,SEKER
33946,668.6,234.8,184.3,1.274,0.6194,34280,207.9,0.7615,0.9903,0.9544,0.8856,0.006916,0.002624,0.7843,0.999,SEKER
33961,690.4,238.2,181.7,1.311,0.6468,34379,207.9,0.7704,0.9878,0.8955,0.873,0.007014,0.002513,0.7621,0.9993,SEKER
33961,667.5,233.1,185.7,1.255,0.6043,34279,207.9,0.7712,0.9907,0.9578,0.892,0.006864,0.002681,0.7957,0.9987,SEKER
33969,666.4,222.4,194.8,1.142,0.4825,34260,208,0.7647,0.9915,0.9613,0.9353,0.006546,0.00309,0.8747,0.9986,SEKER
33972,672.8,233,185.9,1.253,0.6027,34349,208,0.7857,0.989,0.9431,0.8927,0.006858,0.002686,0.7968,0.9986,SEKER
33993,669.1,219.8,197.1,1.115,0.4423,34299,208,0.7782,0.9911,0.9542,0.9467,0.006465,0.003203,0.8963,0.9993,SEKER
33996,663.7,223.1,194.4,1.148,0.4908,34285,208.1,0.7647,0.9916,0.9697,0.9326,0.006562,0.003062,0.8697,0.9981,SEKER
34004,660,229.1,189.2,1.211,0.5639,34277,208.1,0.782,0.992,0.9811,0.9084,0.006736,0.002829,0.8252,0.9992,SEKER
34027,670.2,231.7,187.4,1.236,0.5878,34334,208.1,0.7785,0.9911,0.9521,0.8985,0.006808,0.002737,0.8073,0.9979,SEKER
34036,666.1,226.9,191.1,1.187,0.5392,34369,208.2,0.7538,0.9903,0.9641,0.9174,0.006667,0.002913,0.8415,0.9993,SEKER
34051,677.3,227.6,190.7,1.194,0.5462,34502,208.2,0.7579,0.9869,0.9329,0.9148,0.006685,0.002887,0.8368,0.999,SEKER
34053,671.6,232.4,186.8,1.244,0.5951,34362,208.2,0.744,0.991,0.9488,0.8958,0.006826,0.002712,0.8025,0.9986,SEKER
34060,662.1,220.4,196.9,1.12,0.4498,34367,208.2,0.7891,0.9911,0.9762,0.9447,0.006472,0.00318,0.8924,0.9992,SEKER
34082,668.3,230.6,188.4,1.224,0.5768,34364,208.3,0.8017,0.9918,0.9588,0.9032,0.006767,0.002778,0.8159,0.9988,SEKER
34097,680.6,227.8,190.8,1.194,0.5464,34502,208.4,0.7623,0.9883,0.925,0.9146,0.006682,0.002884,0.8365,0.9987,SEKER
34104,667.3,229.5,189.5,1.211,0.5637,34421,208.4,0.7984,0.9908,0.9625,0.9081,0.006729,0.002822,0.8246,0.9983,SEKER
34113,673.9,221.2,196.5,1.126,0.4594,34492,208.4,0.7747,0.989,0.9439,0.942,0.006486,0.00315,0.8873,0.999,SEKER
34130,666.6,235.5,184.8,1.275,0.6202,34392,208.5,0.7955,0.9924,0.9652,0.885,0.006901,0.002612,0.7833,0.9985,SEKER
34131,668.1,224.3,193.8,1.158,0.5037,34473,208.5,0.7706,0.9901,0.9609,0.9292,0.006573,0.003023,0.8635,0.9995,SEKER
34151,674.3,231.5,188,1.231,0.5834,34580,208.5,0.7505,0.9876,0.9439,0.9007,0.006779,0.002752,0.8113,0.9988,SEKER
34151,662.1,226.5,192.2,1.178,0.529,34389,208.5,0.7782,0.9931,0.9789,0.9205,0.006633,0.002938,0.8474,0.9985,SEKER
34179,677.1,225.1,193.6,1.163,0.51,34576,208.6,0.778,0.9885,0.9369,0.9269,0.006585,0.002998,0.8592,0.9988,SEKER
34191,661.4,224,194.5,1.152,0.4961,34445,208.6,0.772,0.9926,0.9822,0.9315,0.006551,0.003043,0.8678,0.9994,SEKER
34207,668.7,228,191.4,1.191,0.5435,34515,208.7,0.7577,0.9911,0.9612,0.9152,0.006666,0.002885,0.8376,0.9978,SEKER
