Breed |Height_low_inches|Height_high_inches|Weight_low_lbs|Weight_high_lbs|Life_expectancy_years
English Foxhound |21 |25 |60 |75 |10
English Setter |23 |27 |45 |80 |10
English Springer Spaniel |19 |21 |40 |50 |12
English Toy Spaniel |9 |11 |8 |14 |10
Entlebucher Mountain Dog |16 |21 |45 |65 |11
Field Spaniel |17 |18 |35 |50 |10
Finnish Lapphund |16 |21 |33 |53 |12
Finnish Spitz |15 |20 |31 |36 |12
Flat-Coated Retriever |22 |24 |60 |80 |8
French Bulldog |11 |13 |16 |28 |10
German Pinscher |17 |20 |25 |45 |12
German Shorthaired Pointer |21 |25 |45 |70 |12
German Wirehaired Pointer |22 |26 |50 |75 |12
Giant Schnauzer |23 |28 |65 |95 |10
Glen of Imaal Terrier |12 |14 |32 |40 |12
Goldador |22 |24 |60 |80 |10
Golden Retriever |20 |24 |55 |75 |12
Goldendoodle |13 |24 |45 |90 |10
Gordon Setter |23 |27 |45 |80 |10
Grand Basset Griffon Vendeen |15 |18 |40 |44 |13
Great Dane |30 |34 |110 |175 |8
Great Pyrenees |25 |32 |85 |160 |10
Greyhound | 25 | 30 | 50 | 85 | 10
Havanese | 8 | 11 | 7 | 13 | 14
Irish Setter | 25 | 27 | 60 | 70 | 10
Irish Terrier | 18 | 19 | 25 | 27 | 12
Irish Water Spaniel | 21 | 24 | 45 | 65 | 10
Irish Wolfhound | 30 | 32 | 105 | 120 | 6
Italian Greyhound | 13 | 15 | 7 | 14 | 12
Jack Russell Terrier | 10 | 12 | 14 | 18 | 13
Japanese Chin | 8 | 11 | 4 | 9 | 10
Keeshond | 17 | 18 | 35 | 45 | 12
Kerry Blue Terrier | 17 | 19 | 33 | 40 | 12
Komondor | 25 | 32 | 80 | 100 | 10
Kooikerhondje | 14 | 16 | 20 | 30 | 12
Kuvasz | 26 | 30 | 70 | 115 | 8
Labradoodle | 22 | 24 | 50 | 65 | 10
Labrador Retriever | 21 | 24 | 55 | 80 | 10
Lagotto Romagnolo | 16 | 19 | 24 | 35 | 14
Lancashire Heeler | 10 | 12 | 6 | 13 | 12
Leonberger | 26 | 31 | 120 | 170 | 8
Lhasa Apso | 10 | 11 | 12 | 18 | 12
Lowchen | 10 | 13 | 12 | 18 | 12
Maltese | 8 | 10 | 4 | 7 | 12
Maltese Shih Tzu | 8 | 10 | 6 | 12 | 12
Maltipoo | 8 | 14 | 5 | 20 | 10
Manchester Terrier | 15 | 16 | 12 | 22 | 12
Mastiff | 27 | 30 | 120 | 230 | 6
Miniature Bull Terrier | 10 | 14 | 18 | 33 | 11
Miniature Pinscher | 10 | 12 | 8 | 10 | 12
Miniature Schnauzer | 12 | 14 | 11 | 20 | 12
Mudi | 14 | 20 | 18 | 29 | 12
Neapolitan Mastiff | 24 | 31 | 110 | 200 | 7
Newfoundland | 26 | 30 | 100 | 150 | 9
Norfolk Terrier | 9 | 10 | 11 | 12 | 12
Norwegian Buhund | 16 | 18 | 26 | 40 | 12
Norwegian Elkhound | 18 | 21 | 44 | 48 | 12
Németjuhász | 22 | 26 | 75 | 95 | 10
Német Rövidszőrű Tacskó | 15 | 20 | 7 | 15 | 12
Német Spicc | 14 | 18 | 23 | 41 | 12
Német Vizsla | 21 | 24 | 50 | 70 | 10
Német Wirehaired Pointer | 60 | 68 | 20 | 32 | 12
Norwich Terrier | 10 | 12 | 5 | 5.5 | 12
Nyugat-szigetföldi fehér terrier | 6 | 10 | 13 | 22 | 12
Olde English Bulldogge | 25 | 27 | 65 | 85 | 8
Papillon | 3.5 | 4.5 | 3 | 7 | 13
Pekingese | 3.2 | 5.4 | 3.2 | 6.4 | 14
Pembroke Welsh Corgi | 10 | 12 | 24 | 30 | 12
Perzsa agár | 68 | 76 | 65 | 90 | 12
Pointer | 25 | 30 | 44 | 75 | 12
Pomerániai törpespicc | 1.9 | 3.5 | 1.8 | 3.5 | 12
Poodle (Toy) | 2.7 | 3.6 | 2 | 4 | 12
Poodle (Miniature) | 5 | 9 | 12 | 18 | 12
Poodle (Standard) | 20 | 32 | 45 | 70 | 10
Portugál Vizsla | 20 | 30 | 44 | 59 | 12
Pug | 6 | 8 | 6 | 8 | 12
Pyrenean Mountain Dog | 40 | 54 | 80 | 100 | 10
Rhodesian Ridgeback | 29 | 33 | 63 | 88 | 10
Rottweiler | 50 | 60 | 77 | 135 | 8
Russell Terrier | 8 | 12 | 5 | 8 | 12
Saint Bernard | 64 | 91 | 140 | 264 | 8
Saluki | 20 | 30 | 35 | 70 | 12
Samoyed | 20 | 30 | 50 | 60 | 10
Schipperke | 3 | 9 | 7 | 20 | 10
Scottish Terrier | 8.5 | 10 | 19 | 23 | 11
Shetland Sheepdog | 6 | 10 | 11 | 24 | 12
Shiba Inu | 8 | 11 | 17 | 23 | 13
Shih Tzu | 4.5 | 8.1 | 4.5 | 8.1 | 10
Shikoku | 20 | 52 | 12
Skye Terrier | 16 | 25 | 12
Smooth Fox Terrier | 8 | 15 | 12
South Russian Ovcharka | 45 | 65 | 10
Spanish Mastiff | 52 | 77 | 10
Spanish Water Dog | 18 | 50 | 12
Spinone Italiano | 32 | 70 | 12
Stabyhoun | 20 | 53 | 13
Staffordshire Bull Terrier | 12-17 | 36-41 | 12
Sussex Spaniel | 20-27 | 38-41 | 12
Swedish Lapphund | 16-23 | 42-52 | 12
Swedish Vallhund | 11-16 | 31-36 | 12
Tibetan Mastiff | 45-72 | 61-76 | 10
Tibeti spaniel | 4-7 | 20-25 | 12
Tibeti terrier | 8-14 | 33-41 | 12
Toy Fox Terrier | 1.5-3.5 | 21-29 | 12
Treeing Walker Coonhound | 20-32 | 51-69 | 10
Vizsla | 18-30 | 56-64 | 10
Weimari Vizsla | 25-39 | 57-67 | 11
Welsh Springer Spaniel | 16-25 | 43-48 | 12
West Highland White Terrier | 6-10 | 23-28 | 12
Whippet | 11-15 | 45-56 | 12-15
White Shepherd | 27-41 | 56-66 | 12
Wire Fox Terrier | 7.5-8 | 39-41 | 13
Wirehaired Pointing Griffon | 20-30 | 54-60 | 12
Wirehaired Vizsla | 20-29 | 54-64 | 12
Xoloitzcuintli | 4-20 | 25-58 | 12
Yorkshire Terrier | 2-3.2 | 17-23 | 12
