# source: https://data.world/data-society/european-soccer-data
country,date,home_team,away_team,home_team_goal,away_team_goal,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA
Belgium,2015-10-18,Club Brugge KV,KV Oostende,1,0,1.53,3.8,6.5,1.5,4.2,6.0,1.5,4.0,6.1
Belgium,2015-10-17,Standard de Liege,KVC Westerlo,1,2,1.4,4.5,8.0,1.4,4.75,7.0,1.4,4.4,7.3
Belgium,2015-10-17,KV Mechelen,Sint-Truidense VV,3,0,1.83,3.6,4.2,1.87,3.4,4.1,1.8,3.5,4.2
Belgium,2015-10-18,SV Zulte-Waregem,RSC Anderlecht,0,4,4.5,3.3,1.85,3.75,3.75,1.87,4.0,3.45,1.85
Belgium,2015-10-16,Royal Excel Mouscron,KAA Gent,1,2,5.75,3.8,1.6,5.75,4.0,1.55,6.1,4.0,1.5
Belgium,2015-10-17,Sporting Lokeren,Oud-Heverlee Leuven,1,2,1.8,3.5,4.5,1.8,3.6,4.25,1.8,3.5,4.2
Belgium,2015-10-18,KV Kortrijk,Sporting Charleroi,2,0,2.2,3.5,3.1,2.25,3.3,3.1,2.2,3.3,3.1
Belgium,2015-10-17,Waasland-Beveren,KRC Genk,0,1,3.5,3.6,2.0,3.6,3.6,1.95,3.6,3.3,2.0
Belgium,2015-10-25,RSC Anderlecht,Club Brugge KV,3,1,1.85,3.6,4.0,1.9,3.6,3.75,1.9,3.45,3.8
Belgium,2015-10-24,KAA Gent,KV Oostende,2,2,1.4,4.5,8.0,1.45,4.4,6.5,1.45,4.0,7.0
Belgium,2015-10-23,KRC Genk,Royal Excel Mouscron,0,4,1.44,4.5,6.5,1.5,4.25,6.0,1.5,4.0,6.1
Belgium,2015-10-24,KV Mechelen,SV Zulte-Waregem,3,4,1.85,3.6,4.0,1.85,3.6,3.9,1.9,3.45,3.8
Belgium,2015-10-25,Sporting Charleroi,Standard de Liege,2,3,2.5,3.4,2.7,2.35,3.3,2.9,2.3,3.3,2.9
Belgium,2015-10-24,Oud-Heverlee Leuven,Waasland-Beveren,0,2,1.8,3.75,4.2,1.75,3.7,4.33,1.75,3.5,4.5
Belgium,2015-10-24,KVC Westerlo,Sporting Lokeren,1,2,2.88,3.5,2.3,2.75,3.4,2.4,2.75,3.3,2.4
Belgium,2015-10-25,Sint-Truidense VV,KV Kortrijk,2,1,2.5,3.5,2.63,2.5,3.5,2.6,2.4,3.3,2.75
Belgium,2015-10-28,Club Brugge KV,Oud-Heverlee Leuven,2,0,1.36,5.0,7.5,1.33,5.0,8.25,1.25,5.5,10.3
Belgium,2015-10-28,Standard de Liege,KV Mechelen,2,1,1.85,3.5,4.2,1.91,3.75,3.6,1.85,3.5,3.9
Belgium,2015-10-27,KV Oostende,KRC Genk,3,2,2.3,3.3,3.1,2.25,3.4,3.0,2.3,3.3,2.9
Belgium,2015-10-28,SV Zulte-Waregem,Sint-Truidense VV,4,0,2.0,3.4,3.75,2.0,3.6,3.4,1.85,3.5,3.9
Belgium,2015-10-27,Royal Excel Mouscron,KVC Westerlo,2,2,1.7,3.8,4.6,1.78,3.6,4.4,1.9,3.45,3.8
Belgium,2015-10-27,Sporting Lokeren,KAA Gent,1,2,3.8,3.4,1.95,3.7,3.6,1.91,4.0,3.45,1.85
Belgium,2015-10-29,KV Kortrijk,RSC Anderlecht,1,1,5.0,3.6,1.7,4.5,3.5,1.78,4.2,3.5,1.8
Belgium,2015-10-28,Waasland-Beveren,Sporting Charleroi,0,1,2.75,3.3,2.5,2.6,3.4,2.55,2.65,3.3,2.5
Belgium,2015-11-01,RSC Anderlecht,Royal Excel Mouscron,2,0,1.2,6.5,13.0,1.2,5.75,15.5,1.2,5.8,13.0
Belgium,2015-10-30,KRC Genk,Sporting Lokeren,0,2,1.8,3.5,4.5,1.83,3.5,4.25,1.75,3.5,4.5
Belgium,2015-10-31,KV Mechelen,Waasland-Beveren,2,0,1.53,4.33,5.5,1.55,4.0,5.75,1.65,3.6,5.1
Belgium,2015-11-01,SV Zulte-Waregem,KV Kortrijk,2,2,2.0,3.3,3.8,1.95,3.5,3.7,2.0,3.3,3.6
Belgium,2015-10-31,Sporting Charleroi,KV Oostende,1,1,2.1,3.5,3.3,2.2,3.4,3.1,2.2,3.3,3.1
Belgium,2015-10-31,Oud-Heverlee Leuven,KAA Gent,0,2,5.0,3.6,1.7,4.6,3.75,1.72,5.1,3.6,1.65
Belgium,2015-10-31,KVC Westerlo,Club Brugge KV,0,2,5.0,4.0,1.62,4.75,3.9,1.65,5.0,3.9,1.6
Belgium,2015-11-01,Sint-Truidense VV,Standard de Liege,1,0,3.4,3.5,2.05,3.25,3.5,2.1,3.3,3.3,2.1
Belgium,2015-11-08,Club Brugge KV,KRC Genk,1,0,1.5,4.33,6.0,1.53,4.0,6.0,1.5,4.0,6.1
Belgium,2015-11-08,Standard de Liege,RSC Anderlecht,1,0,3.1,3.4,2.25,3.2,3.3,2.2,3.1,3.3,2.2
Belgium,2015-11-08,KAA Gent,Sporting Charleroi,1,3,1.5,4.33,6.0,1.53,4.25,5.5,1.45,4.0,7.0
Belgium,2015-11-07,KV Oostende,Oud-Heverlee Leuven,3,0,1.57,4.0,5.5,1.57,4.0,5.5,1.6,3.9,5.0
Belgium,2015-11-06,Royal Excel Mouscron,SV Zulte-Waregem,2,2,2.75,3.4,2.45,2.75,3.5,2.4,2.65,3.3,2.5
Belgium,2015-11-07,Sporting Lokeren,Sint-Truidense VV,1,1,1.67,3.75,5.0,1.67,3.8,4.75,1.65,3.7,4.9
Belgium,2015-11-07,KV Kortrijk,KV Mechelen,1,0,2.25,3.4,3.1,2.25,3.4,3.0,2.1,3.3,3.3
Belgium,2015-11-07,Waasland-Beveren,KVC Westerlo,2,2,1.91,3.6,3.8,1.91,3.7,3.6,1.9,3.45,3.8
Belgium,2015-11-21,Club Brugge KV,SV Zulte-Waregem,3,0,1.4,4.75,7.0,1.45,4.4,6.5,1.45,4.0,7.0
Belgium,2015-11-22,Standard de Liege,KV Kortrijk,1,1,1.8,3.6,4.33,1.78,3.7,4.25,1.8,3.5,4.2
Belgium,2015-11-20,KAA Gent,KVC Westerlo,5,0,1.3,5.25,9.0,1.3,5.0,9.75,1.3,5.0,9.0
Belgium,2015-11-22,KV Mechelen,KV Oostende,2,1,2.25,3.4,3.1,2.25,3.6,2.9,2.3,3.3,2.9
Belgium,2015-12-22,Royal Excel Mouscron,Sporting Charleroi,0,1,2.6,3.25,2.7,2.65,3.3,2.55,2.65,3.3,2.5
Belgium,2015-12-23,Sporting Lokeren,RSC Anderlecht,1,1,4.2,3.5,1.85,3.75,3.5,1.95,4.2,3.5,1.8
Belgium,2015-11-21,Oud-Heverlee Leuven,KRC Genk,1,3,3.4,3.4,2.1,3.1,3.4,2.2,3.1,3.3,2.2
Belgium,2015-11-21,Waasland-Beveren,Sint-Truidense VV,2,1,2.25,3.5,3.0,2.2,3.5,3.0,2.2,3.3,3.1
Belgium,2015-11-29,RSC Anderlecht,Oud-Heverlee Leuven,3,2,1.25,6.0,10.0,1.25,6.0,10.0,1.25,5.5,10.3
Belgium,2015-11-28,KRC Genk,KAA Gent,0,1,2.9,3.5,2.3,2.9,3.6,2.25,2.9,3.3,2.3
Belgium,2015-11-29,KV Mechelen,Club Brugge KV,1,4,3.6,3.6,1.95,3.6,3.6,1.95,3.8,3.45,1.9
Belgium,2015-11-27,SV Zulte-Waregem,Standard de Liege,2,3,2.6,3.3,2.63,2.6,3.4,2.55,2.75,3.3,2.4
Belgium,2015-11-28,KV Kortrijk,Waasland-Beveren,3,1,1.7,3.75,4.75,1.65,4.0,4.75,1.7,3.6,4.7
Belgium,2015-11-28,Sporting Charleroi,Sporting Lokeren,1,2,2.2,3.2,3.4,2.15,3.4,3.2,2.1,3.3,3.3
Belgium,2015-11-29,KVC Westerlo,KV Oostende,0,1,3.3,3.5,2.1,3.2,3.7,2.05,3.1,3.3,2.2
Belgium,2015-11-28,Sint-Truidense VV,Royal Excel Mouscron,0,1,2.0,3.5,3.6,1.95,3.5,3.75,2.0,3.3,3.6
Belgium,2015-12-06,Club Brugge KV,Sporting Charleroi,2,1,1.44,4.5,6.5,1.44,4.5,6.5,1.45,4.0,7.0
Belgium,2015-12-04,KAA Gent,SV Zulte-Waregem,2,2,1.44,4.75,6.0,1.44,4.6,6.25,1.4,4.4,7.3
Belgium,2015-12-06,KRC Genk,RSC Anderlecht,0,0,3.4,3.4,2.1,3.3,3.4,2.1,3.3,3.3,2.1
Belgium,2015-12-05,KV Oostende,Sint-Truidense VV,1,2,1.55,4.0,5.75,1.53,4.0,6.0,1.65,3.6,5.1
Belgium,2015-12-05,Royal Excel Mouscron,KV Mechelen,2,3,2.55,3.4,2.63,2.5,3.3,2.7,2.5,3.3,2.65
Belgium,2015-12-06,Sporting Lokeren,KV Kortrijk,3,1,2.05,3.6,3.4,2.1,3.4,3.3,2.1,3.3,3.3
Belgium,2015-12-05,Oud-Heverlee Leuven,KVC Westerlo,5,1,1.91,3.6,3.8,1.9,3.6,3.75,1.9,3.45,3.8
Belgium,2015-12-05,Waasland-Beveren,Standard de Liege,0,0,3.8,3.3,2.0,3.5,3.5,2.0,3.6,3.3,2.0
Belgium,2015-12-13,RSC Anderlecht,KV Oostende,1,1,1.45,4.5,6.5,1.44,4.5,6.5,1.45,4.0,7.0
Belgium,2015-12-13,Standard de Liege,Club Brugge KV,2,0,3.2,3.4,2.2,3.0,3.4,2.25,2.9,3.3,2.3
Belgium,2015-12-12,KV Mechelen,Sporting Lokeren,1,1,2.0,3.3,3.8,2.0,3.5,3.5,2.0,3.3,3.6
Belgium,2015-12-12,SV Zulte-Waregem,Waasland-Beveren,2,1,1.57,4.0,5.5,1.62,4.0,5.5,1.55,3.9,5.6
Belgium,2015-12-12,KV Kortrijk,Royal Excel Mouscron,1,3,1.75,3.75,4.33,1.8,3.7,4.5,1.75,3.5,4.5
Belgium,2015-12-12,Sporting Charleroi,Oud-Heverlee Leuven,2,1,1.8,3.75,4.2,1.75,3.8,4.2,1.8,3.5,4.2
Belgium,2015-12-11,KVC Westerlo,KRC Genk,0,0,3.75,3.8,1.85,4.1,3.5,1.85,3.6,3.3,2.0
Belgium,2015-12-13,Sint-Truidense VV,KAA Gent,0,2,4.75,3.5,1.75,4.5,3.7,1.8,4.2,3.5,1.8
Belgium,2015-07-31,KAA Gent,KRC Genk,1,0,1.67,3.6,5.25,1.67,3.7,5.0,1.7,3.6,4.7
Belgium,2015-08-01,Club Brugge KV,KV Mechelen,3,0,1.55,4.2,5.5,1.6,3.9,5.25,1.5,4.0,6.1
Belgium,2015-08-01,Waasland-Beveren,KV Kortrijk,2,1,3.2,3.25,2.25,3.0,3.4,2.25,2.75,3.3,2.4
Belgium,2015-08-01,KV Oostende,KVC Westerlo,2,1,1.65,3.6,5.5,1.7,3.5,5.0,1.7,3.6,4.7
Belgium,2015-08-01,Royal Excel Mouscron,Sint-Truidense VV,0,2,2.63,3.3,2.6,2.6,3.3,2.6,2.4,3.3,2.75
Belgium,2015-08-02,Sporting Lokeren,Sporting Charleroi,2,2,2.1,3.4,3.4,1.95,3.5,3.7,2.1,3.3,3.3
Belgium,2015-08-02,Standard de Liege,SV Zulte-Waregem,2,1,1.57,4.0,5.75,1.65,3.8,5.0,1.65,3.6,5.1
Belgium,2015-08-02,Oud-Heverlee Leuven,RSC Anderlecht,0,2,5.25,4.2,1.57,6.25,3.9,1.53,5.6,3.9,1.55
Belgium,2015-12-20,Club Brugge KV,RSC Anderlecht,1,4,1.95,3.6,3.6,2.0,3.5,3.5,2.0,3.4,3.5
Belgium,2015-12-20,KAA Gent,KV Kortrijk,3,0,1.44,4.33,7.0,1.48,4.2,6.5,1.45,4.0,7.0
Belgium,2015-12-19,KRC Genk,Sint-Truidense VV,3,0,1.53,3.75,7.0,1.55,4.0,5.75,1.55,4.0,5.5
Belgium,2015-12-20,KV Oostende,Standard de Liege,4,1,2.3,3.5,2.9,2.4,3.4,2.8,2.4,3.4,2.7
Belgium,2015-12-19,Royal Excel Mouscron,Waasland-Beveren,0,1,1.95,3.5,3.75,2.0,3.6,3.4,1.9,3.5,3.7
Belgium,2015-12-18,Sporting Lokeren,SV Zulte-Waregem,1,1,2.2,3.5,3.1,2.3,3.3,3.0,2.1,3.4,3.2
Belgium,2015-12-19,Oud-Heverlee Leuven,KV Mechelen,3,1,2.7,3.4,2.5,2.8,3.4,2.4,2.75,3.3,2.4
Belgium,2015-12-19,KVC Westerlo,Sporting Charleroi,2,1,3.4,3.4,2.1,3.2,3.5,2.1,3.3,3.3,2.1
Belgium,2015-12-27,RSC Anderlecht,KVC Westerlo,2,1,1.18,6.5,15.0,1.22,6.0,11.5,1.2,5.8,13.0
Belgium,2015-12-27,Standard de Liege,Royal Excel Mouscron,3,0,1.45,4.5,6.5,1.5,4.1,6.25,1.5,4.0,6.1
Belgium,2015-12-26,KV Mechelen,KAA Gent,2,0,4.0,3.6,1.85,4.0,3.6,1.85,4.2,3.5,1.8
Belgium,2015-12-27,SV Zulte-Waregem,KV Oostende,1,0,2.3,3.5,2.88,2.3,3.5,2.85,2.3,3.3,2.9
Belgium,2015-12-26,KV Kortrijk,Club Brugge KV,1,4,4.2,3.75,1.8,3.9,3.7,1.85,4.2,3.5,1.8
Belgium,2015-12-26,Sporting Charleroi,KRC Genk,1,0,2.5,3.4,2.7,2.5,3.3,2.7,2.3,3.3,2.9
Belgium,2015-12-26,Waasland-Beveren,Sporting Lokeren,2,3,2.8,3.4,2.4,2.75,3.25,2.5,2.55,3.3,2.55
Belgium,2015-12-26,Sint-Truidense VV,Oud-Heverlee Leuven,2,2,2.1,3.5,3.25,2.1,3.4,3.3,2.0,3.4,3.5
Belgium,2016-01-16,Club Brugge KV,Royal Excel Mouscron,3,0,1.2,6.5,13.0,1.25,5.25,12.0,1.2,5.8,13.0
Belgium,2016-01-17,KAA Gent,RSC Anderlecht,2,0,2.3,3.4,3.0,2.35,3.3,3.2,2.2,3.3,3.1
Belgium,2016-01-15,KRC Genk,SV Zulte-Waregem,2,1,1.75,3.6,4.6,1.8,3.7,4.4,1.8,3.5,4.2
Belgium,2016-01-17,KV Oostende,Waasland-Beveren,3,3,1.44,4.5,6.5,1.5,4.1,6.25,1.45,4.0,7.0
Belgium,2016-01-17,Sporting Lokeren,Standard de Liege,0,2,2.8,3.3,2.5,2.6,3.5,2.5,2.75,3.3,2.4
Belgium,2016-01-16,Sporting Charleroi,Sint-Truidense VV,0,0,1.57,3.8,6.0,1.55,4.0,5.75,1.55,3.9,5.6
Belgium,2016-01-16,Oud-Heverlee Leuven,KV Kortrijk,1,0,2.1,3.4,3.4,2.1,3.4,3.3,2.2,3.3,3.1
Belgium,2016-01-16,KVC Westerlo,KV Mechelen,3,2,3.2,3.4,2.2,3.1,3.4,2.2,3.3,3.3,2.1
Belgium,2016-01-24,RSC Anderlecht,Sporting Charleroi,2,1,1.44,4.2,7.5,1.4,4.5,7.5,1.4,4.4,7.3
Belgium,2016-01-24,Standard de Liege,KAA Gent,0,3,2.55,3.4,2.63,2.6,3.3,2.6,2.6,3.2,2.6
Belgium,2016-01-23,KV Mechelen,KRC Genk,1,1,2.8,3.25,2.5,2.65,3.3,2.55,2.6,3.2,2.6
Belgium,2016-01-23,SV Zulte-Waregem,Oud-Heverlee Leuven,2,2,1.85,3.6,4.0,1.9,3.6,3.75,1.85,3.5,3.9
Belgium,2016-01-23,Royal Excel Mouscron,Sporting Lokeren,1,1,3.0,3.1,2.4,2.95,3.4,2.3,2.75,3.3,2.4
Belgium,2016-01-22,KV Kortrijk,KV Oostende,2,1,2.6,3.3,2.7,2.7,3.4,2.7,2.6,3.2,2.6
Belgium,2016-01-24,Waasland-Beveren,Club Brugge KV,1,2,6.5,4.5,1.44,6.5,4.4,1.45,7.3,4.4,1.4
Belgium,2016-01-23,Sint-Truidense VV,KVC Westerlo,1,2,2.15,3.3,3.4,2.2,3.3,3.2,2.2,3.3,3.1
Belgium,2016-01-31,Club Brugge KV,Sporting Lokeren,2,1,1.33,5.0,9.0,1.33,4.75,9.0,1.3,5.0,9.0
Belgium,2016-01-31,KAA Gent,Waasland-Beveren,2,1,1.2,7.0,11.0,1.22,6.0,11.5,1.2,5.8,13.0
Belgium,2016-01-30,KRC Genk,KV Kortrijk,1,0,1.67,3.8,5.0,1.7,3.75,4.75,1.65,3.7,4.9
Belgium,2016-01-31,KV Oostende,Royal Excel Mouscron,3,3,1.57,4.0,5.5,1.62,4.0,5.0,1.6,3.9,5.0
Belgium,2016-01-30,Sporting Charleroi,KV Mechelen,3,2,1.73,3.6,4.75,1.78,3.6,4.33,1.75,3.5,4.5
Belgium,2016-01-30,Oud-Heverlee Leuven,Standard de Liege,0,2,3.4,3.5,2.05,3.2,3.5,2.1,3.3,3.3,2.1
Belgium,2016-01-30,KVC Westerlo,SV Zulte-Waregem,1,2,2.88,3.4,2.38,2.9,3.4,2.3,2.9,3.3,2.3
Belgium,2016-01-29,Sint-Truidense VV,RSC Anderlecht,1,2,7.5,4.2,1.44,7.75,4.25,1.45,6.1,4.0,1.5
Belgium,2016-02-07,Club Brugge KV,KAA Gent,1,0,1.95,3.3,4.0,2.05,3.4,3.5,1.95,3.35,3.7
Belgium,2016-02-07,Standard de Liege,Sint-Truidense VV,1,2,1.29,5.25,10.0,1.3,5.0,9.5,1.3,5.0,9.0
Belgium,2016-02-05,KV Mechelen,RSC Anderlecht,2,2,4.0,3.75,1.85,4.33,3.6,1.85,4.5,3.5,1.75
Belgium,2016-02-06,SV Zulte-Waregem,Sporting Charleroi,2,3,2.63,3.3,2.63,2.65,3.2,2.65,2.6,3.2,2.6
Belgium,2016-02-06,Royal Excel Mouscron,KRC Genk,0,1,3.2,3.4,2.2,3.2,3.2,2.25,2.9,3.3,2.3
Belgium,2016-02-07,Sporting Lokeren,KV Oostende,0,1,2.4,3.5,2.8,2.3,3.3,3.0,2.2,3.3,3.1
Belgium,2016-02-06,KV Kortrijk,KVC Westerlo,1,1,1.83,3.75,4.0,1.8,3.8,4.0,1.85,3.45,4.0
Belgium,2016-02-06,Waasland-Beveren,Oud-Heverlee Leuven,2,2,2.5,3.5,2.63,2.4,3.3,2.85,2.4,3.3,2.75
Belgium,2016-02-13,RSC Anderlecht,SV Zulte-Waregem,3,0,1.44,4.33,7.0,1.44,4.33,6.75,1.4,4.4,7.3
Belgium,2016-02-12,KAA Gent,Royal Excel Mouscron,2,0,1.3,5.25,9.5,1.28,5.5,9.25,1.3,5.0,9.0
Belgium,2016-02-13,KRC Genk,Waasland-Beveren,6,1,1.44,4.33,7.0,1.48,4.0,6.75,1.4,4.4,7.3
Belgium,2016-02-14,KV Oostende,Club Brugge KV,0,2,3.6,3.5,2.0,3.3,3.75,2.0,3.6,3.3,2.0
Belgium,2016-02-13,Sporting Charleroi,KV Kortrijk,1,1,1.8,3.3,4.75,1.8,3.4,4.5,1.8,3.5,4.2
Belgium,2016-02-13,Oud-Heverlee Leuven,Sporting Lokeren,3,3,2.15,3.3,3.4,2.35,3.25,3.0,2.4,3.3,2.75
Belgium,2016-02-14,KVC Westerlo,Standard de Liege,2,0,3.6,3.6,1.95,3.5,3.5,2.0,3.3,3.3,2.1
Belgium,2016-02-14,Sint-Truidense VV,KV Mechelen,0,3,2.4,3.4,2.8,2.45,3.3,2.75,2.4,3.3,2.75
Belgium,2016-02-19,Club Brugge KV,KVC Westerlo,6,0,1.17,7.0,15.0,1.2,7.0,13.0,1.25,5.5,10.3
Belgium,2016-02-20,Standard de Liege,Sporting Charleroi,3,0,1.75,3.6,4.6,1.75,3.6,4.5,1.75,3.5,4.5
Belgium,2016-02-21,KV Oostende,KAA Gent,5,2,3.6,3.6,1.95,3.6,3.6,1.95,3.3,3.3,2.1
Belgium,2016-02-21,SV Zulte-Waregem,KV Mechelen,2,3,2.05,3.6,3.4,1.9,3.5,3.9,1.9,3.45,3.8
Belgium,2016-02-20,Royal Excel Mouscron,Oud-Heverlee Leuven,3,1,2.05,3.5,3.4,2.1,3.4,3.3,2.1,3.3,3.3
Belgium,2016-02-20,Sporting Lokeren,KRC Genk,0,0,3.0,3.25,2.38,2.9,3.25,2.4,2.65,3.3,2.5
Belgium,2016-02-20,KV Kortrijk,Sint-Truidense VV,3,0,1.67,3.8,5.0,1.7,3.7,4.75,1.75,3.5,4.5
Belgium,2016-02-21,Waasland-Beveren,RSC Anderlecht,1,0,6.0,4.33,1.5,5.5,4.25,1.53,6.1,4.0,1.5
Belgium,2016-02-28,RSC Anderlecht,Standard de Liege,3,3,2.05,3.4,3.5,1.95,3.5,3.7,1.9,3.45,3.8
Belgium,2016-02-26,KAA Gent,Sporting Lokeren,3,1,1.33,4.75,9.5,1.36,5.0,7.5,1.4,4.5,7.0
Belgium,2016-02-28,KRC Genk,Club Brugge KV,3,2,3.3,3.5,2.1,3.5,3.4,2.05,3.3,3.3,2.1
Belgium,2016-02-27,KV Mechelen,KV Kortrijk,0,2,2.3,3.4,3.0,2.35,3.3,2.9,2.4,3.1,2.9
Belgium,2016-02-28,Sporting Charleroi,Waasland-Beveren,2,3,1.5,3.9,7.0,1.53,4.0,6.0,1.5,4.0,6.1
Belgium,2016-02-27,Oud-Heverlee Leuven,KV Oostende,4,1,2.3,3.5,2.88,2.25,3.3,3.1,2.3,3.3,2.9
Belgium,2016-02-27,KVC Westerlo,Royal Excel Mouscron,2,2,2.38,3.5,2.8,2.4,3.4,2.75,2.3,3.2,3.0
Belgium,2016-02-27,Sint-Truidense VV,SV Zulte-Waregem,1,2,2.88,3.4,2.38,2.95,3.3,2.35,2.75,3.3,2.4
Belgium,2016-03-05,Club Brugge KV,Sint-Truidense VV,3,0,1.18,7.0,13.0,1.19,6.5,13.5,1.22,5.5,12.0
Belgium,2016-03-05,Standard de Liege,KRC Genk,2,1,1.95,3.5,3.75,1.87,3.5,4.0,1.85,3.45,4.0
Belgium,2016-03-04,KAA Gent,Oud-Heverlee Leuven,1,1,1.36,4.5,9.0,1.36,4.75,7.75,1.45,4.0,7.0
Belgium,2016-03-05,KV Oostende,Sporting Charleroi,2,1,2.5,3.4,2.7,2.35,3.4,2.85,2.4,3.3,2.75
Belgium,2016-03-05,Royal Excel Mouscron,RSC Anderlecht,2,1,4.0,3.8,1.8,4.75,3.8,1.67,4.7,3.6,1.7
Belgium,2016-03-05,Sporting Lokeren,KVC Westerlo,2,1,1.67,3.8,5.0,1.65,3.8,5.0,1.65,3.7,4.9
Belgium,2016-03-05,KV Kortrijk,SV Zulte-Waregem,1,0,2.2,3.3,3.3,2.15,3.4,3.25,2.2,3.4,3.0
Belgium,2016-03-05,Waasland-Beveren,KV Mechelen,0,0,2.38,3.3,2.9,2.45,3.3,2.8,,,
Belgium,2015-08-07,SV Zulte-Waregem,KRC Genk,0,0,2.63,3.3,2.63,2.55,3.25,2.7,2.55,3.3,2.6
Belgium,2015-08-08,KV Kortrijk,Sporting Lokeren,0,0,2.2,3.3,3.25,2.3,3.2,3.1,2.2,3.3,3.1
Belgium,2015-08-08,KVC Westerlo,Oud-Heverlee Leuven,3,2,2.2,3.3,3.25,2.3,3.3,3.0,2.1,3.3,3.3
Belgium,2015-08-08,Sint-Truidense VV,KV Oostende,1,1,2.45,3.25,2.88,2.4,3.3,2.85,2.2,3.3,3.1
Belgium,2015-08-08,KV Mechelen,Royal Excel Mouscron,3,1,1.44,4.2,7.5,1.45,4.1,7.25,1.5,4.0,6.1
Belgium,2015-08-09,RSC Anderlecht,KAA Gent,1,1,1.91,3.4,4.0,2.0,3.4,3.6,2.0,3.3,3.6
Belgium,2015-08-09,Sporting Charleroi,Club Brugge KV,0,0,2.9,3.25,2.4,2.75,3.4,2.4,2.75,3.3,2.4
Belgium,2015-08-09,Standard de Liege,Waasland-Beveren,1,0,1.3,5.0,10.0,1.3,4.75,10.5,1.3,5.0,9.0
Belgium,2016-03-13,RSC Anderlecht,KV Kortrijk,3,0,1.65,4.0,4.75,1.6,4.1,5.0,1.65,3.6,5.1
Belgium,2016-03-13,KRC Genk,KV Oostende,4,1,1.67,3.9,4.75,1.65,3.9,4.75,1.7,3.6,4.7
Belgium,2016-03-13,KV Mechelen,Standard de Liege,4,0,4.5,3.75,1.75,4.4,3.7,1.75,4.7,3.6,1.7
Belgium,2016-03-13,SV Zulte-Waregem,Royal Excel Mouscron,3,0,1.75,3.75,4.33,1.9,3.6,3.75,2.0,3.5,3.3
Belgium,2016-03-13,Sporting Charleroi,KAA Gent,1,1,3.6,3.5,2.0,3.7,3.5,1.95,3.5,3.4,2.0
Belgium,2016-03-13,Oud-Heverlee Leuven,Club Brugge KV,0,1,3.4,3.4,2.1,3.4,3.6,2.0,4.0,3.45,1.85
Belgium,2016-03-13,KVC Westerlo,Waasland-Beveren,1,0,1.8,4.0,4.0,1.72,3.9,4.33,1.65,3.6,5.1
Belgium,2016-03-13,Sint-Truidense VV,Sporting Lokeren,1,1,2.1,3.4,3.4,1.95,3.5,3.7,1.9,3.45,3.8
Belgium,2015-08-14,Club Brugge KV,KV Kortrijk,2,1,1.4,4.75,7.0,1.4,4.5,7.25,1.5,4.0,6.1
Belgium,2015-08-15,Royal Excel Mouscron,Standard de Liege,1,1,5.25,3.6,1.67,5.25,3.9,1.6,5.1,3.6,1.65
