Marka,Evjarat,Ar,Allam,Szin,Hiba
Volkswagen,2002,41687,Nevada,Orange,Brakes
Nissan,1997,20685,Florida,Red,Engine
Kia,2003,28038,Nevada,Orange,Exterior
Volvo,2002,26517,North Carolina,Gray,Brakes
Audi,1996,1943,Alabama,Orange,Engine
Ford,2023,27494,Maine,Yellow,Transmission
Toyota,2009,44564,Montana,Blue,Interior
Audi,2016,13103,Hawaii,Green,Suspension
Subaru,1999,20412,South Dakota,Silver,Exhaust
Chevrolet,1997,29590,Montana,Blue,Interior
Volkswagen,2014,2263,Texas,Yellow,Transmission
Hyundai,1990,46936,New Mexico,White,Exhaust
Audi,1995,24253,Missouri,Blue,Exhaust
Volkswagen,2006,34504,New Mexico,Red,Suspension
Volvo,2014,43535,Kentucky,White,Exhaust
Honda,2001,9844,Texas,Green,Suspension
Chevrolet,2002,25701,Mississippi,Blue,Transmission
Kia,2021,36521,Louisiana,Orange,Brakes
Volvo,2006,36350,Rhode Island,Black,Brakes
Mazda,2019,47073,North Carolina,Blue,Exterior
Nissan,1997,4822,Texas,Green,Tires
Porsche,2013,18967,Rhode Island,Blue,Tires
Subaru,2020,25311,Indiana,Blue,Exterior
Hyundai,1991,10995,Maryland,Blue,Interior
Ford,2017,20426,Alabama,Silver,Brakes
Hyundai,1990,37703,Texas,Silver,Interior
Mercedes,2015,14377,Colorado,Orange,Tires
Porsche,2001,19966,Georgia,Blue,Brakes
BMW,2013,10674,New Mexico,Orange,Engine
Kia,2012,39095,Alaska,White,Transmission
Porsche,2022,43509,Maryland,Gray,Tires
Mercedes,2015,33901,Oklahoma,Orange,Interior
Nissan,1991,4996,South Dakota,Yellow,Interior
Kia,2020,8750,Rhode Island,Orange,Transmission
Subaru,2009,1505,Kansas,Gray,Engine
Kia,1997,23131,Idaho,Black,Tires
Ford,1998,33601,Connecticut,Gray,Transmission
Honda,2012,49958,Connecticut,White,Exhaust
Porsche,2001,23081,Vermont,Blue,Exhaust
Mercedes,2014,8197,Ohio,Black,Suspension
Kia,2017,31927,Delaware,Silver,Transmission
Mercedes,2004,21146,New Hampshire,Black,Exterior
Toyota,1997,23074,Virginia,Silver,Transmission
Ford,2022,16823,Pennsylvania,White,Exhaust
Volkswagen,1990,19959,Georgia,Silver,Exterior
Audi,2009,24796,Massachusetts,Silver,Engine
Volvo,2018,48556,Oklahoma,Red,Interior
Hyundai,1999,23363,Connecticut,Black,Tires
Audi,2002,20830,Indiana,Black,Transmission
Audi,1994,1807,Missouri,Blue,Transmission
Mazda,2009,35343,North Dakota,Orange,Transmission
Chevrolet,1999,41248,Michigan,White,Brakes
Lexus,1999,34416,Colorado,Yellow,Engine
Mazda,2010,37863,Arkansas,Orange,Transmission
Honda,2004,16664,Colorado,Silver,Tires
Honda,2009,5741,Washington,Silver,Interior
Lexus,2010,46054,New Mexico,Orange,Tires
Mercedes,2023,39700,California,White,Suspension
Porsche,1999,34490,Maryland,Green,Exhaust
Kia,2005,49724,South Carolina,Gray,Exhaust
Lexus,2006,39456,Delaware,Gray,Tires
Honda,2008,6537,Wyoming,Blue,Brakes
Kia,2017,7455,South Carolina,Silver,Suspension
Porsche,2014,26765,Montana,White,Suspension
Toyota,1996,17859,Ohio,White,Brakes
Toyota,2001,15451,Iowa,Red,Exhaust
Volvo,1993,36827,Nevada,Silver,Engine
Honda,2015,15326,Michigan,Silver,Interior
BMW,2015,16558,Maine,Gray,Interior
Maserati,2009,11248,New Hampshire,White,Exterior
Nissan,2011,34341,Colorado,Blue,Suspension
Kia,2000,36348,Maryland,Black,Engine
Ford,2005,21247,Maryland,Silver,Exterior
Audi,2001,4274,Florida,Green,Engine
Hyundai,2003,21941,Pennsylvania,Black,Suspension
Volvo,2014,28702,Nevada,White,Brakes
BMW,1996,22880,New Hampshire,Silver,Brakes
Porsche,2011,2279,Maryland,White,Interior
Mercedes,1998,32094,Kansas,Red,Engine
Volvo,1996,49195,North Dakota,Silver,Interior
Ford,2012,45237,Maine,Gray,Suspension
Honda,2007,33104,North Dakota,Silver,Engine
Chevrolet,1996,36907,Hawaii,Black,Transmission
Mercedes,1994,19370,New York,Silver,Tires
Subaru,2002,2120,Arkansas,White,Exhaust
Chevrolet,2008,35671,Arizona,Silver,Exhaust
Lexus,2017,34479,Alaska,Yellow,Interior
Audi,2021,1951,Montana,Green,Exhaust
Kia,2001,35793,Ohio,Yellow,Tires
Nissan,2013,16756,Missouri,Black,Exhaust
Mazda,2015,24057,Mississippi,Silver,Transmission
Toyota,2017,26522,Rhode Island,Black,Brakes
Ford,1990,31458,Oklahoma,White,Tires
Porsche,2011,24615,Massachusetts,Yellow,Transmission
Nissan,1993,44048,Alabama,Green,Brakes
Hyundai,2004,14902,Connecticut,Green,Exterior
Toyota,1997,4633,Texas,Silver,Exhaust
Mercedes,2012,23553,Michigan,Gray,Exhaust
Subaru,2002,10251,Pennsylvania,Orange,Brakes
BMW,2005,28317,New Hampshire,Red,Brakes
Lexus,1996,40661,West Virginia,Blue,Exterior
Toyota,2011,23701,Delaware,Black,Exhaust
Mazda,1998,40415,Washington,Yellow,Interior
Lexus,2015,15525,Iowa,Blue,Exterior
Hyundai,2013,21528,Arizona,Black,Engine
Porsche,1996,27000,Alaska,Orange,Interior
Lexus,2023,45260,Alaska,Red,Suspension
Porsche,2009,14181,Vermont,Blue,Interior
Chevrolet,2017,47850,Arkansas,Green,Tires
BMW,2006,43662,Illinois,White,Interior
Volvo,2003,35257,Ohio,Silver,Brakes
Chevrolet,1992,24824,Michigan,Blue,Suspension
Audi,2009,28983,Iowa,Yellow,Transmission
BMW,2009,37866,West Virginia,Orange,Tires
Mercedes,2013,20889,Missouri,Orange,Suspension
Hyundai,2022,22509,North Dakota,Blue,Exhaust
Nissan,1991,35169,Arizona,Orange,Engine
Mazda,2015,27251,New Hampshire,Gray,Exterior
Nissan,1994,29293,West Virginia,Gray,Exterior
Chevrolet,2003,46334,Colorado,Green,Tires
Lexus,1992,15996,Kansas,Silver,Engine
Volvo,1992,5737,Hawaii,Yellow,Exterior
Toyota,2023,35709,Nevada,Blue,Transmission
Kia,2012,5600,Alabama,White,Suspension
Audi,2012,9798,West Virginia,Green,Engine
Chevrolet,2008,21573,New Jersey,Blue,Exterior
Kia,1991,17954,Texas,Yellow,Tires
Ford,2021,45962,Connecticut,Red,Brakes
Volvo,2015,15743,New Jersey,Green,Tires
Mercedes,2018,47787,Maine,Black,Exterior
Porsche,2020,45837,Hawaii,Orange,Exterior
Toyota,2000,27957,Massachusetts,White,Transmission
Chevrolet,1992,45516,Tennessee,White,Transmission
BMW,2011,6221,Virginia,White,Suspension
Porsche,2014,23194,Mississippi,Silver,Interior
Volvo,2015,48253,Arizona,Green,Exhaust
BMW,2014,32502,Montana,Black,Exhaust
Ford,2001,27750,Montana,Black,Brakes
Subaru,2018,45084,Oregon,Orange,Engine
Subaru,1994,38963,Massachusetts,Red,Exhaust
Honda,1995,1002,Indiana,Red,Engine
Maserati,2021,48627,Washington,Red,Brakes
Toyota,1999,9320,Louisiana,Green,Transmission
Chevrolet,2006,31886,Idaho,Red,Tires
Hyundai,2023,6889,South Dakota,White,Transmission
Hyundai,2013,16370,Hawaii,Silver,Engine
BMW,2019,5298,Nevada,White,Brakes
Subaru,2020,24501,Minnesota,Green,Suspension
Toyota,1995,8719,Utah,Yellow,Tires
Mazda,2006,40549,New York,Yellow,Exhaust
Audi,2001,44523,Texas,Green,Exterior
Mercedes,1998,4408,Texas,Black,Exterior
Nissan,2016,19919,New Hampshire,Gray,Interior
Porsche,2022,22966,New Mexico,Yellow,Suspension
Chevrolet,2013,24825,South Carolina,Yellow,Exterior
Audi,2014,24645,South Dakota,Black,Transmission
Volkswagen,2008,6289,Maryland,Orange,Interior
Honda,1994,23296,Oklahoma,Blue,Engine
Lexus,1992,7007,West Virginia,White,Exhaust
Kia,2011,22819,Hawaii,Yellow,Engine
Volkswagen,2001,33308,Texas,Gray,Brakes
Subaru,2011,12051,Arizona,Gray,Suspension
Chevrolet,1990,2472,Minnesota,Green,Tires
Volvo,2015,29064,Iowa,Silver,Transmission
Toyota,2016,3584,New York,Red,Suspension
Honda,2000,20418,Massachusetts,Green,Transmission
Ford,1994,49851,Rhode Island,Gray,Exhaust
Volkswagen,2020,1517,Washington,White,Engine
Toyota,2007,32439,Georgia,Yellow,Brakes
BMW,1993,39986,Maine,Orange,Interior
Honda,2002,7579,West Virginia,Gray,Brakes
Subaru,2018,2818,Missouri,Blue,Transmission
Audi,2005,41859,Kansas,Blue,Transmission
Maserati,2008,15283,South Carolina,White,Tires
Maserati,2004,18311,Iowa,Orange,Brakes
BMW,1998,8633,North Carolina,Gray,Transmission
Hyundai,2019,48226,New York,Yellow,Exterior
Subaru,2017,8136,New Hampshire,Yellow,Tires
Kia,1995,6205,Maryland,Red,Transmission
BMW,2002,20764,Virginia,Black,Suspension
Lexus,2022,23782,Florida,Silver,Engine
Kia,1990,40278,Virginia,Gray,Exhaust
Maserati,1990,15517,Iowa,Silver,Engine
Volvo,2001,39354,Wyoming,Green,Exterior
Hyundai,2013,6585,Virginia,Blue,Brakes
Lexus,2013,30113,Illinois,Black,Suspension
Mazda,1998,33298,Vermont,Black,Interior
Chevrolet,2006,49006,Idaho,Gray,Suspension
Mazda,2013,9385,Iowa,Orange,Interior
Lexus,2021,7261,Michigan,White,Engine
Volvo,1996,20363,Idaho,Orange,Interior
Hyundai,2001,43080,Hawaii,Black,Tires
Ford,1993,48103,North Dakota,Yellow,Interior
Subaru,1990,12651,Nevada,White,Engine
Honda,1992,34296,Utah,Orange,Engine
Kia,1996,49675,Alaska,Gray,Interior
Mazda,2002,5689,Virginia,Red,Brakes
Toyota,2013,40346,Nevada,Green,Transmission
Mazda,2014,33454,Massachusetts,Silver,Tires
Porsche,2014,37467,Minnesota,Red,Tires
Lexus,1999,40476,Iowa,Black,Transmission
BMW,1995,18170,New York,White,Engine
Honda,2003,31537,Arizona,Silver,Engine
Toyota,2007,36254,Illinois,Green,Engine
Kia,1995,12680,Idaho,Orange,Exhaust
Chevrolet,2022,2559,Maryland,Silver,Suspension
Volkswagen,1998,25798,Arizona,Yellow,Tires
Honda,1990,24546,South Carolina,Silver,Suspension
Chevrolet,1993,48650,New Mexico,Black,Tires
Ford,1998,8539,New Hampshire,Gray,Exterior
Kia,2012,13706,Illinois,Yellow,Engine
BMW,1992,20710,Nevada,Black,Brakes
Mazda,2012,14032,Delaware,Blue,Suspension
Lexus,2021,4102,Texas,White,Transmission
Maserati,2016,33785,Idaho,White,Suspension
Mazda,2018,39853,Wyoming,Silver,Interior
Maserati,2021,28853,North Carolina,Orange,Exhaust
Kia,2001,40830,Ohio,Orange,Engine
Hyundai,2007,23573,New Hampshire,Orange,Tires
Nissan,2010,35580,Kansas,Silver,Interior
Mercedes,2009,46305,North Carolina,Green,Suspension
Subaru,2002,34060,North Carolina,Orange,Engine
Ford,2010,33050,Colorado,Orange,Suspension
Volkswagen,2008,40725,Alabama,Black,Suspension
Ford,1998,35378,Montana,Black,Exhaust
Hyundai,2007,43391,Hawaii,Gray,Brakes
Porsche,1992,29800,Georgia,Orange,Interior
Kia,1995,49191,North Carolina,Yellow,Transmission
Hyundai,1995,26909,Virginia,Green,Exhaust
BMW,2010,37022,New Mexico,White,Engine
Volkswagen,2019,10133,Delaware,Red,Brakes
Hyundai,2008,28721,Utah,Silver,Interior
Mazda,1994,46366,West Virginia,Orange,Exhaust
Chevrolet,2002,45142,Virginia,White,Exhaust
Honda,1994,29508,Washington,White,Tires
Volkswagen,1994,26104,Delaware,Yellow,Transmission
Volkswagen,2020,28957,Delaware,White,Exterior
Kia,2018,34165,South Carolina,Blue,Exhaust
Subaru,2000,27836,Indiana,Red,Exterior
Lexus,2003,33748,Nevada,Blue,Suspension
Maserati,2002,32584,Florida,Red,Engine
Nissan,2023,29411,Mississippi,Blue,Tires
Volkswagen,2000,37781,Vermont,Red,Engine
Toyota,2014,3044,Washington,Blue,Suspension
Hyundai,2000,7529,Iowa,White,Exterior
Subaru,2003,30167,Minnesota,Blue,Engine
Ford,2019,35986,North Carolina,Yellow,Engine
Audi,2012,34130,Alaska,Red,Exhaust
BMW,2009,31803,Rhode Island,Blue,Interior
Honda,2012,23146,West Virginia,White,Brakes
Ford,1992,2239,Virginia,Red,Engine
Honda,2017,34113,West Virginia,Green,Tires
Mazda,1996,47658,Maryland,Green,Transmission
Subaru,2008,23352,Delaware,Yellow,Exhaust
Lexus,2022,38855,Iowa,Gray,Exterior
Mazda,2021,6922,Arkansas,Orange,Tires
Hyundai,2022,12083,Kentucky,Yellow,Interior
Chevrolet,2002,47265,Massachusetts,White,Tires
Maserati,2004,19186,Arizona,White,Brakes
Kia,2021,7229,Virginia,Gray,Exterior
Volvo,2023,49826,California,Yellow,Exterior
BMW,2020,35117,Texas,Gray,Suspension
Volvo,2002,39184,New Jersey,Orange,Exhaust
Porsche,1991,9239,Delaware,Red,Brakes
Hyundai,2020,11226,Texas,Blue,Brakes
Subaru,2016,37395,Kentucky,Blue,Exhaust
Ford,1990,33056,Montana,Green,Engine
Kia,1997,43168,Nevada,Green,Engine
Porsche,2007,24469,Indiana,Green,Brakes
Mercedes,2008,4149,Georgia,Orange,Exterior
Hyundai,2001,47954,Virginia,White,Brakes
Toyota,2020,24361,North Carolina,Black,Interior
Volkswagen,2015,25927,Kentucky,Black,Transmission
Ford,2023,36436,South Carolina,Yellow,Exterior
Audi,2003,48198,Hawaii,Yellow,Transmission
Mazda,1998,37822,California,Black,Exhaust
Maserati,1990,11091,Wisconsin,Yellow,Suspension
Mercedes,2023,47669,Louisiana,Green,Tires
Honda,2003,46587,Massachusetts,Orange,Transmission
Kia,2019,39019,Kentucky,White,Tires
Volvo,2011,27339,Massachusetts,Red,Exhaust
Lexus,2000,17992,Maryland,Gray,Tires
Honda,2011,21521,Missouri,Orange,Exhaust
Kia,1993,26336,Iowa,Silver,Transmission
Mercedes,2002,32014,New Hampshire,Yellow,Suspension
Hyundai,2004,48967,Alabama,Black,Transmission
Kia,1998,46274,North Dakota,Green,Exterior
Volkswagen,1994,23227,Wyoming,Silver,Tires
BMW,2003,2250,Missouri,White,Brakes
Subaru,1993,4118,New York,Gray,Tires
Mercedes,2018,25467,California,Green,Suspension
Honda,2003,48088,Colorado,Black,Exhaust
BMW,2003,21124,Minnesota,Black,Brakes
Subaru,2019,38641,Mississippi,Red,Suspension
Nissan,2010,43900,Montana,Red,Tires
Mercedes,1999,14337,Mississippi,Red,Engine
Toyota,2018,12977,Nevada,Silver,Exterior
Ford,1991,25186,Montana,Silver,Engine
Toyota,2011,13884,Maryland,Orange,Brakes
Lexus,2004,26081,Idaho,Gray,Exterior
Honda,2009,19873,Virginia,Green,Engine
Honda,2014,45795,South Carolina,Blue,Suspension
Nissan,1994,7853,Pennsylvania,Blue,Exhaust
Audi,1990,9254,Tennessee,Green,Exterior
Mazda,1997,2432,Tennessee,Red,Tires
Volkswagen,2009,27357,Hawaii,Red,Suspension
Volvo,1994,19865,Texas,Blue,Engine
Mercedes,1990,45436,Maine,Green,Exterior
Ford,2013,11931,Louisiana,Red,Tires
Porsche,1995,14880,New Jersey,Black,Exhaust
Hyundai,1998,25390,Utah,Blue,Transmission
Subaru,2005,17254,Rhode Island,Silver,Transmission
Honda,2019,10665,Hawaii,Black,Suspension
Subaru,2006,44085,New Mexico,Green,Exhaust
Mercedes,1993,15328,Arkansas,Orange,Tires
Subaru,2014,13661,Delaware,Orange,Exterior
Mazda,1997,25577,Missouri,Red,Suspension
Ford,2021,7127,New York,Silver,Transmission
Porsche,1998,28826,Indiana,Blue,Engine
Toyota,1996,8108,Maryland,White,Brakes
Hyundai,2022,1341,Colorado,Red,Tires
Kia,2007,40266,South Dakota,White,Transmission
Subaru,2005,11706,Michigan,Green,Transmission
Volkswagen,2008,24266,Hawaii,Green,Tires
Volvo,1998,5744,Utah,Blue,Exhaust
Mazda,2001,43032,Utah,Gray,Brakes
Porsche,1995,22375,Maryland,Gray,Exterior
Toyota,1998,22105,South Carolina,Red,Exhaust
Porsche,2005,5259,Indiana,Black,Suspension
Hyundai,2023,11387,Nebraska,Blue,Exterior
Audi,2001,38040,Arizona,Green,Tires
Audi,2005,7042,Minnesota,Green,Interior
Chevrolet,2002,47358,Nevada,Green,Suspension
Audi,2022,31955,Pennsylvania,Red,Interior
Honda,1992,37716,Oregon,Orange,Exhaust
Honda,2000,7013,New York,Red,Brakes
Ford,2019,13642,New York,Black,Interior
Kia,2004,22519,Kansas,Red,Transmission
Hyundai,2022,8060,Ohio,Silver,Suspension
Kia,2013,5364,Hawaii,Silver,Tires
Lexus,2019,3031,North Dakota,Black,Suspension
Subaru,2023,40276,New Mexico,Gray,Suspension
Toyota,2007,19546,West Virginia,Blue,Engine
Volkswagen,2010,38604,Oklahoma,Yellow,Brakes
Toyota,2014,3670,Iowa,Gray,Exterior
Lexus,1996,29390,Wyoming,Blue,Engine
Ford,2013,14824,South Carolina,Blue,Tires
Toyota,2016,9349,Hawaii,Green,Brakes
Honda,2018,2329,Wisconsin,Green,Exterior
Audi,1993,39813,Pennsylvania,Gray,Exterior
Porsche,2013,8897,Georgia,Gray,Suspension
Kia,1998,14241,California,Orange,Suspension
Ford,2011,46043,Maryland,Black,Exhaust
BMW,2002,22523,Georgia,Green,Brakes
Ford,1991,18257,Mississippi,Orange,Suspension
Honda,2013,18308,Idaho,Yellow,Brakes
Toyota,1997,15730,Wyoming,Orange,Transmission
Ford,2017,8667,Missouri,Silver,Interior
Honda,2009,42769,Alaska,Green,Brakes
Nissan,2003,34894,Mississippi,Blue,Interior
Nissan,2005,32287,South Dakota,White,Engine
Toyota,2014,8504,Georgia,Black,Exhaust
Nissan,1994,32052,Hawaii,Gray,Transmission
Mazda,2003,20192,Wyoming,White,Transmission
Ford,2016,22076,Rhode Island,White,Brakes
Mazda,2018,39266,New Mexico,Green,Transmission
Maserati,2021,45821,California,Black,Suspension
Porsche,1994,21531,Maryland,White,Brakes
Volkswagen,1992,42020,Florida,Blue,Exhaust
BMW,2020,20793,West Virginia,Silver,Exterior
Chevrolet,1990,26890,Wisconsin,Red,Exhaust
Audi,2007,16258,Iowa,Gray,Exterior
Mercedes,2001,17399,Mississippi,Red,Tires
Chevrolet,2007,12410,Wisconsin,Gray,Suspension
Hyundai,2006,25531,Georgia,Yellow,Exhaust
Nissan,1991,26216,Oklahoma,Green,Exterior
Porsche,1991,18127,Pennsylvania,Yellow,Interior
Honda,1999,32576,Minnesota,Red,Interior
Porsche,2020,21498,Georgia,Orange,Transmission
Audi,2008,14518,Indiana,Silver,Brakes
Chevrolet,2018,38292,Nebraska,Orange,Exhaust
Mazda,2002,46492,Tennessee,Gray,Exhaust
Mercedes,2005,36775,South Dakota,Yellow,Exterior
Hyundai,2007,4994,New Hampshire,Black,Suspension
Volkswagen,1997,33971,Missouri,Orange,Tires
Hyundai,2021,35212,New York,Blue,Exterior
Nissan,1991,24414,Iowa,Orange,Engine
Volkswagen,2002,47272,Iowa,Orange,Interior
Honda,1996,3543,Oregon,Orange,Tires
Kia,2018,45165,Oklahoma,Red,Suspension
Hyundai,2017,42379,North Dakota,Silver,Transmission
Honda,2020,31442,Ohio,Blue,Engine
Chevrolet,2012,30833,Maine,Silver,Interior
Ford,1997,38526,Alabama,Green,Engine
Kia,2023,27646,Kentucky,Red,Brakes
Honda,1993,15472,North Carolina,Blue,Exterior
Maserati,2004,29213,West Virginia,Red,Tires
Mercedes,2018,44239,New Hampshire,Gray,Brakes
Volkswagen,2005,32606,Utah,Black,Exterior
Ford,2018,28477,Indiana,Red,Exterior
Nissan,2009,29751,Montana,Black,Transmission
Nissan,1996,35028,Montana,Blue,Engine
Porsche,2010,26354,Connecticut,Silver,Suspension
Volkswagen,2000,2686,New Mexico,Yellow,Tires
Hyundai,2014,1459,Pennsylvania,Green,Exhaust
Toyota,1994,9720,Nevada,Orange,Suspension
Audi,2019,15018,South Dakota,Silver,Transmission
Hyundai,2007,21401,Louisiana,White,Tires
BMW,1997,4026,New York,White,Exhaust
Audi,1995,11923,Iowa,White,Exterior
Ford,2012,31189,Tennessee,Silver,Tires
Porsche,1997,23335,Alaska,Blue,Suspension
Porsche,2019,32901,South Carolina,Yellow,Exterior
Maserati,1992,41620,Wyoming,Gray,Engine
Volvo,2009,35891,Pennsylvania,Yellow,Brakes
Subaru,2011,49719,California,Silver,Suspension
BMW,2003,18197,Rhode Island,Red,Tires
Kia,2023,45193,Tennessee,Green,Suspension
Mazda,2003,6135,Rhode Island,Silver,Engine
Lexus,2005,33149,Michigan,Black,Exterior
Nissan,2008,14523,New Mexico,Orange,Engine
Volkswagen,2015,3685,Minnesota,White,Tires
Hyundai,2022,31058,Wyoming,Gray,Engine
BMW,1996,11590,Missouri,White,Exhaust
Kia,2007,35014,Montana,Yellow,Transmission
Chevrolet,1996,5119,Massachusetts,Red,Brakes
Maserati,2019,8834,South Dakota,Green,Interior
Hyundai,1992,1958,Colorado,Green,Exterior
Kia,2020,48410,Pennsylvania,Blue,Exterior
Mazda,1992,16273,West Virginia,Yellow,Brakes
Nissan,1995,46981,Louisiana,Orange,Transmission
Mazda,1991,49050,Connecticut,Gray,Exhaust
Kia,2023,28664,Louisiana,Black,Suspension
Toyota,2020,42652,Ohio,White,Transmission
Mercedes,1997,31940,Ohio,Black,Tires
Volkswagen,2012,40299,Indiana,Black,Interior
Toyota,2020,10432,Ohio,Red,Transmission
Kia,2001,44056,Arkansas,Yellow,Exhaust
Porsche,2023,21126,Alaska,Black,Transmission
Honda,1998,45591,North Carolina,Red,Transmission
Kia,2008,4578,North Carolina,Green,Transmission
Kia,2013,32592,Minnesota,Yellow,Brakes
Ford,2021,49947,New Jersey,Yellow,Transmission
Honda,2002,17164,Iowa,Gray,Exterior
Toyota,1994,33466,Colorado,Silver,Transmission
Mazda,2001,2070,Georgia,Yellow,Transmission
Volvo,2020,24622,Alabama,Black,Tires
Volkswagen,2015,22082,Montana,White,Exhaust
Subaru,1995,23255,Colorado,Red,Exhaust
Chevrolet,2010,15828,Kansas,White,Tires
Honda,2016,1229,New Hampshire,Gray,Tires
Nissan,1995,15913,Kansas,Orange,Brakes
Honda,2016,48153,Tennessee,Orange,Transmission
Subaru,2011,11262,Georgia,Silver,Exhaust
Nissan,2004,27606,Washington,Blue,Transmission
Mercedes,2014,36699,North Dakota,Silver,Interior
Kia,2020,48962,Utah,Black,Transmission
Honda,1992,37242,Alaska,White,Suspension
Mercedes,2008,49387,California,Black,Brakes
Lexus,1997,28496,Arizona,Silver,Engine
Chevrolet,1990,48209,Hawaii,White,Engine
Mazda,2001,21643,Washington,Orange,Interior
Nissan,1996,43861,Michigan,Orange,Exterior
Chevrolet,2010,15841,Montana,Orange,Interior
Chevrolet,2011,32342,Arkansas,Green,Suspension
Ford,2018,42779,Florida,Orange,Exterior
Honda,1992,10805,Wisconsin,Black,Exhaust
Lexus,2000,15171,Rhode Island,Black,Transmission
Nissan,2016,14397,Rhode Island,Gray,Engine
Subaru,2015,6849,Rhode Island,Orange,Transmission
BMW,1992,4000,Arkansas,White,Suspension
Toyota,2018,30205,Kentucky,Green,Tires
BMW,2005,11434,Minnesota,Silver,Transmission
Mercedes,2007,36343,Alabama,Green,Interior
Ford,2018,16656,West Virginia,Red,Transmission
Mercedes,2016,23794,New Hampshire,Yellow,Engine
Kia,2008,43290,Iowa,Silver,Exhaust
Mazda,2017,19001,Idaho,Green,Suspension
Hyundai,2003,22055,Indiana,Silver,Interior
Kia,2021,15432,Colorado,White,Engine
Volkswagen,2011,38810,Maryland,Silver,Exterior
Honda,2006,12692,North Dakota,Yellow,Interior
Toyota,2006,43989,Pennsylvania,Blue,Brakes
Audi,2004,12393,Minnesota,Black,Transmission
Volvo,2002,21676,Missouri,Gray,Exhaust
Ford,1995,37274,Massachusetts,Blue,Transmission
Volkswagen,2015,24163,Illinois,Gray,Exterior
Honda,2021,9600,Connecticut,Silver,Exterior
Porsche,1991,24961,Kentucky,Yellow,Tires
Volkswagen,1992,5130,New Mexico,Red,Exterior
Subaru,2002,2256,Ohio,Black,Engine
Subaru,2000,5130,Florida,Yellow,Interior
Audi,2023,27894,Louisiana,Orange,Tires
BMW,2017,10940,New York,Green,Transmission
Ford,2023,35908,Mississippi,Blue,Interior
BMW,2001,11611,Louisiana,White,Engine
Subaru,1996,2832,North Carolina,Black,Engine
Volkswagen,1993,21484,North Carolina,Red,Tires
Nissan,2005,33204,West Virginia,Gray,Exterior
Toyota,1997,15603,North Dakota,Black,Engine
Porsche,1996,24013,Alabama,Black,Exterior
Porsche,2005,45270,Colorado,Gray,Transmission
Nissan,2018,39822,Illinois,Black,Engine
Volvo,2020,2012,Hawaii,Green,Transmission
Kia,2014,19221,Wisconsin,Yellow,Engine
Audi,2008,3189,New Hampshire,Gray,Brakes
Toyota,1991,49232,Maine,Blue,Exterior
